Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2018-09-26,268.55999755859375,270.67999267578125,266.6600036621094,268.4700012207031,2027700,0.0,0.0,ADBE
2018-09-27,270.0,272.4200134277344,269.25,269.9100036621094,1735200,0.0,0.0,ADBE
2018-09-28,269.75,272.260009765625,268.44000244140625,269.95001220703125,2784500,0.0,0.0,ADBE
2018-10-01,271.760009765625,276.6300048828125,271.4599914550781,275.489990234375,3553100,0.0,0.0,ADBE
2018-10-02,274.7099914550781,277.0299987792969,271.8500061035156,272.0,3254400,0.0,0.0,ADBE
2018-10-03,273.25,274.1700134277344,269.760009765625,270.510009765625,2726400,0.0,0.0,ADBE
2018-10-04,269.5,271.07000732421875,260.5400085449219,263.7099914550781,3780300,0.0,0.0,ADBE
2018-10-05,263.9599914550781,266.1000061035156,258.30999755859375,263.2200012207031,3098600,0.0,0.0,ADBE
2018-10-08,261.8399963378906,263.4599914550781,248.69000244140625,254.69000244140625,5109200,0.0,0.0,ADBE
2018-10-09,254.16000366210938,258.7200012207031,251.7100067138672,254.16000366210938,2597500,0.0,0.0,ADBE
2018-10-10,252.52000427246094,253.3800048828125,237.8600006103516,237.91000366210938,5309300,0.0,0.0,ADBE
2018-10-11,236.41000366210938,245.72000122070312,234.72000122070312,238.5899963378906,7042900,0.0,0.0,ADBE
2018-10-12,247.74000549316406,249.91000366210938,242.7799987792969,248.8699951171875,4779900,0.0,0.0,ADBE
2018-10-15,248.33999633789062,248.36999511718753,238.0,238.00999450683594,5106400,0.0,0.0,ADBE
2018-10-16,252.5,261.7300109863281,251.77000427246094,260.6700134277344,8679600,0.0,0.0,ADBE
2018-10-17,261.2099914550781,261.8900146484375,255.25999450683594,258.9100036621094,4405100,0.0,0.0,ADBE
2018-10-18,256.19000244140625,257.2099914550781,246.00999450683594,250.35000610351562,5378900,0.0,0.0,ADBE
2018-10-19,252.72999572753906,252.88999938964844,243.63999938964844,245.0299987792969,4070600,0.0,0.0,ADBE
2018-10-22,246.0,251.63999938964844,242.8000030517578,251.05999755859375,3487000,0.0,0.0,ADBE
